n, mikro_s
0,2.35558
1,2.80857
2,3.20673
3,3.41177
4,3.40462
5,3.59535
6,3.86238
7,3.4833
8,3.05653
9,3.03268
10,3.09706
11,3.30925
12,3.39508
13,3.47614
14,3.59058
15,3.77178
16,3.80754
17,4.05312
18,4.09365
19,4.31299
20,4.36544
21,4.46081
22,4.63963
23,4.67777
24,4.77314
25,4.94719
26,5.06163
27,5.19753
28,5.37634
29,5.66483
30,5.64814
31,5.548
32,5.82933
33,5.88417
34,6.04868
35,6.11305
36,6.20842
37,6.36101
38,6.46114
39,6.64234
40,6.71864
41,6.79016
42,6.94513
43,7.15256
44,7.15494
45,7.34806
46,7.36475
47,7.5078
48,7.7033
49,7.86304
50,8.03232
51,7.90834
52,8.18968
53,8.19683
54,8.29697
55,8.44955
56,8.58784
57,8.70705
58,8.70466
59,8.82626
60,9.18627
61,9.17196
62,9.24587
63,9.38177
64,9.35555
65,9.61304
66,9.74894
67,10.02312
68,10.00881
69,10.12564
70,10.24485
71,10.47373
72,10.65731
73,10.38551
74,10.70738
75,10.79321
76,10.93864
77,10.97918
78,11.18898
79,11.30581
80,11.31296
81,11.38926
82,11.5943
83,11.66821
84,11.9853
85,11.81364
86,12.19749
87,12.25471
88,12.36916
89,12.3167
90,12.48121
91,12.58135
92,12.80308
93,12.84361
94,12.87222
95,13.12971
96,13.40866
97,14.58645
98,18.79454
99,16.5534
100,13.81636
101,13.99279
102,14.00709
103,13.95702
104,14.02378
105,14.28843
106,14.46247
107,14.63413
108,14.66274
109,14.81056
110,14.67466
111,15.15627
112,15.17296
113,15.4376
114,15.80954
115,15.67125
116,15.55204
117,15.71894
118,15.92159
119,16.10279
120,15.9502
121,16.26968
122,16.35075
123,16.54625
124,16.56532
125,16.74891
126,17.00878
127,16.79897
128,16.94918
129,17.23766
130,17.13037
131,17.49992
132,17.65013
133,17.63105
134,17.6692
135,17.81225
136,18.14127
137,18.07928
138,18.26525
139,18.5132
140,18.65864
141,18.5132
142,18.65387
143,18.6801
144,18.93759
145,19.14978
146,19.21177
147,19.09018
148,19.15932
149,19.39535
150,19.45019
151,19.59801
152,20.15114
153,20.28227
154,20.12253
155,20.18452
156,20.3681
157,20.46347
158,20.87355
159,20.74242
160,20.75195
161,20.87593
162,21.13342
163,21.10004
164,21.26694
165,21.30747
166,21.48628
167,21.74616
168,21.80576
169,21.7557
170,22.12524
171,21.76285
172,22.07756
173,22.13717
174,22.21823
175,22.42088
176,22.3732
177,22.43519
178,22.69745
179,22.83096
180,22.90726
181,23.04077
182,23.23627
183,23.45562
184,23.37694
185,23.6702
186,23.76318
187,23.88239
188,23.99206
189,23.95153
190,24.08266
191,24.25909
192,24.34731
193,24.35923
194,24.61672
195,24.6501
196,24.77646
197,24.89328
198,24.99342
199,25.30336
200,25.30336
201,25.57755
202,25.68722
203,25.70629
204,26.09491
205,26.14021
206,26.11637
207,26.24512
208,26.39055
209,26.91746
210,26.65281
211,27.11535
212,26.85547
213,26.96514
214,27.21786
215,27.44675
216,27.84491
217,27.91882
218,27.83775
219,27.94266
220,27.96888
221,28.06664
222,28.22876
223,28.2383
224,28.33843
225,28.5387
226,28.77712
227,29.01793
228,28.97024
229,28.95355
230,29.09899
231,29.37555
232,29.62351
233,29.75941
234,29.80471
235,29.76418
236,30.00975
237,30.64156
238,31.02303
239,30.23624
240,30.36499
241,30.46751
242,30.59864
243,31.60238
244,31.22807
245,30.92051
246,31.28767
247,31.58331
248,31.29244
249,31.99816
250,31.78835
251,32.04346
252,32.16267
253,32.00769
254,32.00531
255,32.22942
256,32.14121
257,32.28664
258,32.50122
259,32.84931
260,33.04958
261,32.76348
262,32.9423
263,33.66709
264,34.97362
265,34.05571
266,33.26178
267,33.58126
268,34.03425
269,33.68378
270,34.163
271,34.0867
272,34.33704
273,34.53016
274,34.50155
275,34.48009
276,34.73759
277,35.27164
278,35.10952
279,34.96647
280,35.55059
281,35.46476
282,36.63063
283,36.24916
284,36.23486
285,36.02028
286,36.10849
287,36.62586
288,36.44466
289,36.7856
290,36.56149
291,36.48281
292,36.5591
293,36.71646
294,37.02879
295,37.44602
296,37.66298
297,37.59384
298,38.21135
299,38.10883
300,37.87994
301,37.9777
302,38.2638
303,38.32102
304,38.49983
305,38.34248
306,39.09111
307,38.57851
308,38.8217
309,38.75017
310,38.98144
311,39.19125
312,39.3939
313,39.51311
314,39.81352
315,39.62517
316,39.72769
317,39.77537
318,40.23075
319,40.29036
320,40.24506
321,40.71236
322,40.32135
323,40.64322
324,40.75289
325,40.79819
326,41.22019
327,41.04614
328,41.29648
329,41.90207
330,41.50629
331,41.43715
332,42.13572
333,42.62686
334,42.72699
335,42.45996
336,42.50765
337,42.58156
338,42.60778
339,43.16807
