n, mikro_s
0,1.32918
1,1.35158
2,1.34913
3,1.3129
4,1.3892
5,1.32918
6,1.30773
7,1.31726
8,1.30892
9,1.32203
10,1.39713
11,1.38402
12,1.42694
13,1.42097
14,1.50204
15,1.57833
16,1.54018
17,1.57356
18,1.57952
19,1.57237
20,1.60694
21,1.60694
22,1.61409
23,1.6737
24,1.63078
25,1.63794
26,1.65939
27,1.69039
28,1.67727
29,1.66655
30,1.77979
31,1.81079
32,1.81437
33,1.80602
34,1.8239
35,1.81079
36,1.85013
37,1.83702
38,1.84417
39,1.86443
40,1.84059
41,1.87397
42,1.85966
43,1.86801
44,1.9002
45,1.88589
46,1.90616
47,1.87159
48,1.89781
49,1.91569
50,1.88828
51,1.90258
52,1.91331
53,1.93596
54,1.93954
55,1.91808
56,1.89662
57,1.96099
58,1.95265
59,1.94669
60,1.96457
61,1.9908
62,1.99199
63,2.07424
64,2.06947
65,2.0802
66,2.07424
67,2.10285
68,2.08378
69,2.09689
70,2.10643
71,2.17795
72,2.17795
73,2.16007
74,2.18987
75,2.19345
76,2.17557
77,2.2018
78,2.2018
79,2.22683
80,2.20895
81,2.21848
82,2.19464
83,2.2614
84,2.20537
85,2.21729
86,2.23994
87,2.22087
88,2.23994
89,2.26617
90,2.2161
91,2.25425
92,2.28047
93,2.25067
94,2.24829
95,2.24829
96,2.26259
97,2.23279
98,2.23517
99,2.2769
100,2.29597
101,2.26736
102,2.31147
103,2.28047
104,2.28047
105,2.3067
106,2.29359
107,2.25663
108,2.31385
109,2.34962
110,2.34365
111,2.30789
112,2.321
113,2.34485
114,2.33412
115,2.321
116,2.31981
117,2.32697
118,2.34723
119,2.34127
120,2.35438
121,2.36869
122,2.35677
123,2.34485
124,2.38299
125,2.36154
126,2.38419
127,2.42352
128,2.47478
129,2.4581
130,2.47002
131,2.47717
132,2.51532
133,2.50101
134,2.50936
135,2.53797
136,2.48432
137,2.50936
138,2.52247
139,2.56896
140,2.50578
141,2.49743
142,2.50697
143,2.53797
144,2.50697
145,2.52247
146,2.52247
147,2.52128
148,2.55585
149,2.5177
150,2.52724
151,2.53201
152,2.51532
153,2.52008
154,2.55823
155,2.54035
156,2.52366
157,2.52962
158,2.52128
159,2.51532
160,2.53201
161,2.56062
162,2.54631
163,2.55108
164,2.5475
165,2.5785
166,2.53558
167,2.56896
168,2.51651
169,2.56062
170,2.55227
171,2.56538
172,2.51055
173,2.55466
174,2.55585
175,2.5785
176,2.55823
177,2.59638
178,2.57373
179,2.59757
180,2.58088
181,2.61307
182,2.60234
183,2.57611
184,2.6083
185,2.59161
186,2.56181
187,2.57611
188,2.56896
189,2.57969
190,2.58803
191,2.56419
192,2.60711
193,2.60353
194,2.59519
195,2.58446
196,2.60234
197,2.59399
198,2.60234
199,2.63929
200,2.62022
201,2.63691
202,2.59876
203,2.64883
204,2.61784
205,2.63572
206,2.64764
207,2.64406
208,2.64049
209,2.68936
210,2.63929
211,2.64168
212,2.63095
213,2.63691
214,2.62737
215,2.65837
216,2.64406
217,2.63572
218,2.64764
219,2.67386
220,2.66433
221,2.71678
222,2.67267
223,2.72155
224,2.68221
225,2.71916
226,2.70724
227,2.7144
228,2.68817
229,2.71559
230,2.72751
231,2.72036
232,2.71916
233,2.7144
234,2.71082
235,2.73705
236,2.71201
237,2.75612
238,2.76685
239,2.77996
240,2.73943
241,2.74658
242,2.74301
243,2.76804
244,2.72751
245,2.7287
246,2.75731
247,2.78592
248,2.79546
249,2.76089
250,2.75612
251,2.80142
252,2.76923
253,2.78234
254,2.85864
255,2.87175
256,2.90275
257,2.94089
258,2.91348
259,2.92659
260,2.90394
261,2.93016
262,2.88963
263,2.94566
264,2.9242
265,2.97308
266,2.94685
267,2.9552
268,2.95281
269,3.00527
270,2.95043
271,3.01242
272,2.95758
273,3.02672
274,2.99931
275,2.99215
276,2.99215
277,2.98977
278,2.96235
279,2.99335
280,2.97427
281,2.98381
282,3.00646
283,3.01957
284,2.9707
285,3.00884
286,3.01123
