n, mikro_s
0,1.17419
1000,6.1388
2000,7.26037
3000,8.18546
4000,8.72784
5000,9.49874
6000,10.10084
7000,10.53214
8000,11.11898
9000,11.84876
10000,12.49349
11000,13.03959
12000,13.51793
13000,13.86676
14000,14.4376
15000,14.91086
16000,15.33706
17000,16.05487
18000,16.60178
19000,17.19847
20000,17.70253
21000,18.18719
22000,18.69678
23000,19.3491
24000,19.88351
25000,20.41247
26000,20.89386
27000,21.44463
28000,21.99888
29000,22.54469
30000,22.8446
31000,23.50531
32000,23.95513
33000,25.04008
34000,25.45762
35000,25.89629
36000,26.29194
37000,27.10633
38000,27.39408
39000,27.75278
40000,28.20003
41000,29.01239
42000,29.27291
43000,29.84211
44000,30.48329
45000,31.02682
46000,31.75089
47000,32.07853
48000,32.62994
49000,33.18799
50000,33.54404
51000,34.54266
52000,34.57332
53000,35.12323
54000,35.64117
55000,35.93979
56000,36.55083
57000,37.02934
58000,37.54847
59000,38.49969
60000,38.79361
61000,39.12404
62000,39.78333
63000,40.25321
64000,40.76502
65000,41.22603
66000,42.01653
67000,42.44256
68000,43.08581
69000,43.79692
70000,44.19177
71000,45.06247
72000,44.9187
73000,45.60773
74000,45.85016
75000,46.59142
76000,47.09153
77000,47.64419
78000,47.10875
79000,47.75515
80000,49.71058
81000,50.24545
82000,50.16224
83000,50.8141
84000,51.22232
85000,51.93419
86000,52.07658
87000,52.70236
88000,53.22194
89000,53.88346
90000,54.5141
91000,55.1235
92000,55.3313
93000,55.7852
94000,56.1296
95000,56.85303
96000,57.21147
97000,57.91759
98000,58.35667
99000,59.44819
100000,59.19325
101000,59.79075
102000,60.37338
103000,60.76791
104000,61.45949
105000,61.54413
106000,62.13069
107000,62.69553
108000,63.86368
109000,63.84115
110000,63.96339
111000,64.37609
112000,65.0677
113000,65.65926
114000,66.12957
115000,66.93618
116000,67.4217
117000,67.97831
118000,68.26072
119000,68.84062
120000,69.60137
121000,69.62514
122000,70.28425
123000,71.12143
124000,71.39835
125000,72.00785
126000,72.30632
127000,72.91434
128000,73.94001
129000,74.58065
130000,75.36404
131000,76.33195
132000,76.78776
133000,76.13561
134000,77.39229
135000,77.92451
136000,79.24609
137000,79.39243
138000,80.96364
139000,78.93023
140000,80.31366
141000,80.97014
142000,81.40242
143000,81.92689
144000,82.70149
145000,82.51724
146000,83.09996
147000,84.47394
148000,84.50284
149000,84.9782
150000,85.00931
151000,85.55994
152000,85.62038
153000,86.50038
154000,87.00852
155000,87.03618
156000,87.97021
157000,88.45727
158000,89.20143
159000,89.63304
160000,90.42046
161000,90.65378
162000,90.88717
163000,91.34192
164000,92.20178
165000,92.76838
166000,93.41717
167000,93.72373
168000,93.87152
169000,94.46471
170000,95.04728
171000,95.64569
172000,95.70911
173000,95.72792
174000,96.68791
175000,97.4478
176000,98.59676
177000,98.10758
178000,99.07827
179000,99.26596
180000,100.25742
181000,101.08187
182000,100.6294
183000,101.64278
184000,102.23355
185000,102.44718
186000,102.99633
187000,103.40123
188000,103.97396
189000,105.25436
190000,104.99144
191000,105.39398
192000,105.86586
193000,104.81727
194000,108.69174
195000,107.18772
196000,107.78582
197000,108.55057
198000,110.83689
199000,109.74975
200000,109.7146
201000,110.72047
202000,110.95264
203000,111.47056
204000,112.16252
205000,112.48765
206000,113.79297
207000,113.9066
208000,113.83994
209000,114.32908
210000,115.27796
211000,115.41688
212000,115.87446
213000,116.32671
214000,116.97383
215000,117.82527
216000,118.26353
217000,118.56136
218000,118.26003
219000,118.64202
220000,119.58358
221000,120.21646
222000,120.76361
223000,121.13879
224000,122.1746
225000,122.09942
226000,122.76273
227000,123.10846
228000,123.78986
229000,123.97685
230000,125.52998
231000,126.16496
232000,125.99163
233000,126.39918
234000,127.19438
235000,127.94113
236000,128.50962
237000,128.94223
238000,129.2865
239000,129.7332
240000,130.23973
241000,130.91345
242000,131.16508
243000,131.98116
244000,132.73928
245000,132.34158
246000,132.86517
247000,134.04098
248000,133.49681
249000,134.58302
250000,134.53825
251000,136.03232
252000,135.94115
253000,136.37471
254000,136.40971
255000,137.62345
256000,138.05628
257000,138.61756
258000,138.27627
259000,141.18094
260000,139.37106
261000,140.257
262000,140.82949
263000,141.72883
264000,142.62605
265000,143.1659
266000,144.00396
267000,144.05344
268000,143.802
269000,145.53373
270000,146.1185
271000,145.82708
272000,146.44725
273000,148.36493
274000,147.53628
275000,147.27914
276000,148.31212
277000,147.98901
278000,148.91489
279000,149.11423
280000,151.82261
281000,159.58622
282000,151.83785
283000,152.67005
284000,152.29068
285000,152.28405
286000,153.48673
287000,161.20937
288000,157.02629
289000,155.20182
290000,155.15804
291000,154.96304
292000,157.16543
293000,157.43494
294000,157.40685
295000,157.8392
296000,158.19168
297000,158.44305
298000,158.85777
299000,160.1187
300000,160.41038
