n, mikro_s
0,1.19765
10,2.82123
20,3.24771
30,3.38731
40,3.67842
50,3.78468
60,3.80955
70,4.05378
80,4.12405
90,4.14586
100,4.16386
110,4.19791
120,4.29018
130,4.47042
140,4.62573
150,4.67706
160,4.66292
170,4.62794
180,4.66201
190,4.69065
200,4.75864
210,4.77276
220,4.75912
230,4.7528
240,4.82404
250,4.72975
260,5.04999
270,5.08521
280,5.18723
290,5.23224
300,5.11081
310,5.09279
320,5.36351
330,5.21331
340,5.26502
350,5.2422
360,5.32784
370,5.35536
380,5.43876
390,5.48794
400,5.52871
410,5.47483
420,5.53827
430,5.59089
440,5.60062
450,5.68626
460,5.71599
470,5.67212
480,5.55017
490,5.55549
500,5.71687
510,5.8301
520,6.0493
530,5.82149
540,5.91898
550,6.03778
560,5.92675
570,6.00171
580,6.10995
590,6.09057
600,6.14676
610,6.20677
620,6.18117
630,6.13027
640,6.13918
650,6.01594
660,6.15909
670,6.09994
680,6.20224
690,6.20971
700,6.19786
710,6.28986
720,6.25377
730,6.32772
740,6.25052
750,6.20329
760,6.30157
770,6.28228
780,6.27792
790,6.35121
800,6.29675
810,6.34682
820,6.24352
830,6.26693
840,6.28128
850,6.30031
860,6.42371
870,6.45752
880,6.458
890,6.45123
900,6.44603
910,6.5078
920,6.45483
930,6.47018
940,6.48081
950,6.51293
960,6.54109
970,6.46029
980,6.43065
990,6.44138
1000,6.58231
1010,6.62313
1020,6.40473
1030,6.63831
1040,6.80945
1050,6.88763
1060,6.83208
1070,6.86238
1080,6.86116
1090,6.87814
1100,6.87261
1110,6.72278
1120,6.66947
1130,6.81312
1140,6.79746
1150,6.64797
1160,6.86154
1170,6.87993
1180,6.94973
1190,7.00414
1200,6.92115
1210,6.9052
1220,6.94721
1230,7.04989
1240,7.08742
1250,7.01029
1260,7.02298
1270,7.07479
1280,6.85723
1290,6.76548
1300,7.0014
1310,7.01826
1320,7.04541
1330,7.04095
1340,7.07469
1350,7.09939
1360,7.14772
1370,7.06511
1380,7.1105
1390,7.14705
1400,7.20804
1410,7.13832
1420,7.19192
1430,6.96502
1440,6.97486
1450,7.10733
1460,7.19004
1470,7.11601
1480,7.23596
1490,7.21695
1500,7.19056
1510,7.2329
1520,7.22575
1530,7.2366
1540,7.31037
1550,7.18875
1560,7.17721
1570,7.31091
1580,7.16631
1590,7.19109
1600,7.19051
1610,7.25493
1620,7.25648
1630,7.02164
1640,7.23374
1650,7.28796
1660,7.41692
1670,7.34501
1680,7.22115
1690,7.2824
1700,7.41191
1710,7.31075
1720,7.16562
1730,7.25245
1740,7.24218
1750,7.25327
1760,7.37073
1770,7.16796
1780,7.39167
1790,7.52656
1800,7.23886
1810,7.25429
1820,7.24065
1830,7.53243
1840,7.34656
1850,7.3061
1860,7.16937
1870,7.18493
1880,7.3066
1890,7.28619
1900,7.20217
1910,7.32443
1920,7.23844
1930,7.31628
1940,7.53865
1950,7.7884
1960,7.65851
1970,7.31926
1980,7.21772
1990,7.2293
2000,7.25486
2010,7.23984
2020,7.36418
2030,7.96039
2040,7.96795
2050,7.8732
2060,8.07121
2070,7.76832
2080,7.69479
2090,7.57415
2100,7.67736
2110,7.63719
2120,7.73742
2130,7.6436
2140,7.73995
2150,7.9246
2160,8.85351
2170,8.14171
2180,7.86235
2190,7.87148
2200,7.74279
2210,7.6642
2220,7.64396
2230,7.71048
2240,8.18076
2250,7.98097
2260,7.84523
2270,7.83265
2280,7.71828
2290,7.69703
2300,7.76122
2310,8.06777
2320,8.03134
2330,7.93746
2340,7.92603
2350,8.0492
2360,7.91998
2370,7.95426
2380,7.84221
2390,7.77352
2400,7.86862
2410,7.88031
2420,7.89571
2430,8.06665
2440,7.95128
2450,7.92632
2460,7.89049
2470,8.02276
2480,7.9958
2490,7.87985
2500,7.95412
2510,7.98762
2520,8.05814
2530,8.09515
2540,8.07633
2550,8.13787
2560,8.04293
2570,8.06108
2580,8.19473
2590,8.19497
2600,8.10876
2610,8.27098
2620,8.14557
2630,8.15082
2640,8.18205
2650,8.17921
2660,8.24838
2670,8.21555
2680,8.28924
2690,8.23436
2700,8.31635
2710,8.26132
2720,8.24404
2730,8.2715
2740,8.28183
2750,8.17125
2760,8.10513
2770,8.33027
2780,8.24187
2790,8.27248
2800,8.41041
2810,8.31554
2820,8.11253
2830,8.11157
2840,8.18784
2850,8.19693
2860,8.17313
2870,8.19402
2880,8.2525
2890,8.2221
2900,8.20196
2910,8.22732
2920,8.24194
2930,8.25951
2940,8.22651
2950,8.21636
2960,8.21943
2970,8.19385
2980,8.24697
2990,8.34475
3000,8.37798
