n, mikro_s
0,6.49948
1000,6.45511
2000,6.45578
3000,6.43132
4000,6.52263
5000,6.51927
6000,6.41043
7000,6.49242
8000,6.54619
9000,6.54304
10000,6.495
11000,6.52597
12000,6.58228
13000,6.49145
14000,6.64012
15000,6.62017
16000,6.6457
17000,6.70395
18000,6.67272
19000,6.65255
20000,6.66585
21000,6.71642
22000,6.67324
23000,6.6345
24000,6.65889
25000,6.67405
26000,6.69038
27000,6.67331
28000,6.68006
29000,6.62713
30000,6.72526
31000,6.65326
32000,6.67715
33000,6.77898
34000,6.83987
35000,6.73013
36000,6.76425
37000,6.65028
38000,6.70981
39000,6.64883
40000,6.67229
41000,6.53977
42000,6.51484
43000,6.66149
44000,6.74517
45000,6.81257
46000,6.67672
47000,6.65333
48000,6.75042
49000,6.72836
50000,6.72047
51000,6.74341
52000,6.6571
53000,6.67968
54000,6.80983
55000,6.73652
56000,6.71453
57000,6.80144
58000,6.67422
59000,6.75902
60000,6.65936
61000,6.67431
62000,6.7107
63000,6.71985
64000,6.79121
65000,6.69336
66000,6.73604
67000,6.74541
68000,6.76308
69000,6.71499
70000,6.64535
71000,6.75478
72000,6.7162
73000,6.76136
74000,6.5351
75000,6.49936
76000,6.63526
77000,6.6582
78000,6.66564
79000,6.57415
80000,6.69885
81000,6.71341
82000,6.65236
83000,6.67825
84000,6.76382
85000,6.71425
86000,6.67841
87000,6.76391
88000,6.705
89000,6.72512
90000,6.69684
91000,6.70476
92000,6.7816
93000,6.78568
94000,6.74069
95000,6.66723
96000,6.64208
97000,6.64761
98000,6.65715
99000,6.67331
100000,6.66156
101000,6.76548
102000,6.79491
103000,6.68581
104000,6.67455
105000,6.66699
106000,6.6735
107000,6.70362
108000,6.6916
109000,6.67894
110000,6.73597
111000,6.69696
112000,6.82778
113000,6.84505
114000,6.56912
115000,6.64237
116000,6.77335
117000,6.73869
118000,6.78389
119000,6.81002
120000,6.78878
121000,6.70605
122000,6.71048
123000,6.78434
124000,6.71849
125000,6.63176
126000,6.70409
127000,6.65357
128000,6.70326
129000,6.71501
130000,6.72014
131000,6.77836
132000,6.79057
133000,6.63095
134000,6.68697
135000,6.63056
136000,6.65305
137000,6.65767
138000,6.71523
139000,6.69777
140000,6.69463
141000,6.63621
142000,6.67403
143000,6.68092
144000,6.64418
145000,6.74307
146000,6.70748
147000,6.65984
148000,6.76272
149000,6.73435
150000,6.74107
151000,6.59246
152000,6.61275
153000,6.61516
154000,6.6637
155000,6.61991
156000,6.74677
157000,6.67114
158000,6.69806
159000,6.73628
160000,6.7651
161000,6.65443
162000,6.71425
163000,6.63376
164000,6.70302
165000,6.64864
166000,6.69973
167000,6.77304
168000,6.6992
169000,6.66208
170000,6.64258
171000,6.69436
172000,6.68781
173000,6.66316
174000,6.77538
175000,6.70214
176000,6.7755
177000,6.63285
178000,6.63247
179000,6.59091
180000,6.56457
181000,6.68931
182000,6.65908
183000,6.6648
184000,6.69711
185000,6.7143
186000,6.73571
187000,6.68414
188000,6.69284
189000,6.75504
190000,6.62937
191000,6.59766
192000,6.65462
193000,6.68373
194000,6.69065
195000,6.78091
196000,6.7358
197000,6.63249
198000,6.61829
199000,6.60374
200000,6.65989
201000,6.66907
202000,6.66182
203000,6.77686
204000,6.69901
205000,6.68354
206000,6.67684
207000,6.63803
208000,6.64108
209000,6.67193
210000,6.63629
211000,6.68275
212000,6.66661
213000,6.65832
214000,6.71256
215000,6.68788
216000,6.6762
217000,6.68604
218000,6.78842
219000,6.66869
220000,6.65965
221000,6.70478
222000,6.70331
223000,6.76889
224000,6.72193
225000,6.83243
226000,6.69427
227000,6.63741
228000,6.66547
229000,6.64728
230000,6.64265
231000,6.58922
232000,6.71239
233000,6.7404
234000,6.62255
235000,6.6608
236000,6.61829
237000,6.62723
238000,6.64165
239000,6.67303
240000,6.66852
241000,6.68783
242000,6.76515
243000,6.74605
244000,6.60765
245000,6.66842
246000,6.6982
247000,6.75128
248000,6.65693
249000,6.63404
250000,6.63924
251000,6.71794
252000,6.73285
253000,6.70891
254000,6.67868
255000,6.64973
256000,6.63466
257000,6.65312
258000,6.58519
259000,6.62386
260000,6.68581
261000,6.76489
262000,6.64744
263000,6.66451
264000,6.5865
265000,6.60851
266000,6.67629
267000,6.69971
268000,6.66513
269000,6.6875
270000,6.68228
271000,6.64215
272000,6.6915
273000,6.63345
274000,6.68023
275000,6.73265
276000,6.75001
277000,6.69262
278000,6.71196
279000,6.7488
280000,6.68085
281000,6.68752
282000,6.65004
283000,6.68645
284000,6.73628
285000,6.66659
286000,6.62277
287000,6.69003
288000,6.67231
289000,6.85499
290000,6.86119
291000,6.73094
292000,6.66564
293000,6.708
294000,6.615
295000,6.62737
296000,6.76923
297000,6.71086
298000,6.78129
299000,6.72841
