n, mikro_s
0,6.56934
10,6.56226
20,6.48789
30,6.42591
40,6.46517
50,6.53141
60,6.53181
70,6.55277
80,6.53234
90,6.5819
100,6.57504
110,6.53145
120,6.53129
130,6.54945
140,6.52721
150,6.63881
160,6.48112
170,6.50499
180,6.50678
190,6.54681
200,6.53715
210,6.54104
220,6.50203
230,6.48685
240,6.45125
250,6.5407
260,6.53918
270,6.43346
280,6.47933
290,6.53145
300,6.60112
310,6.46071
320,6.46396
330,6.45177
340,6.51803
350,6.44469
360,6.48954
370,6.50346
380,6.53319
390,6.58426
400,6.60181
410,6.56676
420,6.57907
430,6.51412
440,6.61519
450,6.65486
460,6.58274
470,6.57463
480,6.52232
490,6.54159
500,6.51708
510,6.49173
520,6.50795
530,6.49858
540,6.89907
550,7.34975
560,7.10037
570,6.57508
580,6.54402
590,6.71899
600,6.52611
610,6.5016
620,6.55582
630,6.5625
640,6.54304
650,6.49192
660,6.62029
670,6.52139
680,6.50954
690,6.5212
700,6.47519
710,6.50702
720,6.5341
730,6.56037
740,6.61404
750,6.53198
760,6.55973
770,6.54116
780,6.60059
790,6.59781
800,6.52101
810,6.51257
820,6.53055
830,6.65815
840,6.54976
850,6.49753
860,6.56743
870,6.60281
880,6.64644
890,6.69446
900,6.6776
910,6.63099
920,6.63991
930,6.72464
940,6.66544
950,6.62951
960,6.65824
970,6.68666
980,6.59924
990,6.56607
1000,6.63455
1010,6.60775
1020,6.64687
1030,6.72309
1040,6.55301
1050,6.52971
1060,6.6304
1070,6.70035
1080,6.73006
1090,6.74694
1100,6.59199
1110,6.52013
1120,6.54249
1130,6.56207
1140,6.54657
1150,6.58832
1160,6.63099
1170,6.64487
1180,6.84228
1190,6.69563
1200,6.69687
1210,6.70059
1220,6.69053
1230,6.66554
1240,6.58393
1250,6.53341
1260,6.79746
1270,6.60808
1280,6.53377
1290,6.4996
1300,6.50618
1310,6.51908
1320,6.54476
1330,6.59425
1340,6.53548
1350,6.60837
1360,6.55313
1370,6.59621
1380,6.63316
1390,6.68285
1400,6.70226
1410,6.65884
1420,6.66304
1430,6.6628
1440,6.69305
1450,6.67801
1460,6.53641
1470,6.60365
1480,6.47993
1490,6.47268
1500,6.50756
1510,6.47917
1520,6.51619
1530,6.55375
1540,6.53629
1550,6.57203
1560,6.65784
1570,6.55744
1580,6.49619
1590,6.60555
1600,6.61476
1610,6.53281
1620,6.52606
1630,6.54914
1640,6.57871
1650,6.54235
1660,6.50139
1670,6.61154
1680,6.61736
1690,6.63211
1700,6.5351
1710,6.54953
1720,6.51357
1730,6.61311
1740,6.59349
1750,6.70147
1760,6.49993
1770,6.73964
1780,6.68609
1790,6.6499
1800,6.64411
1810,6.63323
1820,6.64356
1830,6.57542
1840,6.45158
1850,6.50334
1860,6.47759
1870,6.54807
1880,6.51965
1890,6.53074
1900,6.58193
1910,6.6016
1920,6.57024
1930,6.50499
1940,6.51236
1950,6.54931
1960,6.51875
1970,6.54535
1980,6.50172
1990,6.5444
2000,6.529
2010,6.58908
2020,6.5793
2030,6.51996
2040,6.54147
2050,6.55184
2060,6.61821
2070,6.48537
2080,6.50222
2090,6.54767
2100,6.56831
2110,6.54039
2120,6.51038
2130,6.5418
2140,6.49526
2150,6.43477
2160,6.55124
2170,6.48201
2180,6.51197
2190,6.49474
2200,6.52552
2210,6.59347
2220,6.51186
2230,6.53894
2240,6.55863
2250,6.55222
2260,6.51059
2270,6.62501
2280,6.69711
2290,6.54333
2300,6.6783
2310,6.60303
2320,6.62227
2330,6.72023
2340,6.67815
2350,6.75297
2360,6.64067
2370,6.59127
2380,6.56672
2390,6.51491
2400,6.67679
2410,6.64465
2420,6.63481
2430,6.65178
2440,6.69863
2450,6.69355
2460,6.68986
2470,6.67622
2480,6.61743
2490,6.82869
2500,6.70123
2510,6.73347
2520,6.73885
2530,6.73807
2540,6.69773
2550,6.69508
2560,6.72266
2570,6.74374
2580,6.75206
2590,6.71172
2600,6.70841
2610,6.7034
2620,6.73497
2630,6.69558
2640,6.73735
2650,6.52637
2660,6.64117
2670,6.65762
2680,6.75006
2690,6.72431
2700,6.54519
2710,6.60837
2720,6.59893
2730,6.6359
2740,6.68178
2750,6.71332
2760,6.69196
2770,6.76162
2780,6.74584
2790,6.79321
2800,6.72193
2810,6.50518
2820,6.60868
2830,6.53958
2840,6.60565
2850,6.56626
2860,6.57699
2870,6.61876
2880,6.59804
2890,6.53834
2900,6.59859
2910,6.59664
2920,6.58951
2930,6.66068
2940,6.68814
2950,6.62718
2960,6.64165
2970,6.60915
2980,6.58305
2990,6.50587
3000,6.51278
