n, mikro_s
0,0.66042
1,1.99676
2,2.11477
3,2.13861
4,1.65105
5,1.5831
6,1.477
7,1.53899
8,1.38998
9,1.47223
10,1.53303
11,1.55449
12,1.57237
13,1.58668
14,1.63794
15,1.6737
16,1.69873
17,1.79529
18,1.82271
19,1.82509
20,1.91927
21,1.90973
22,1.87516
23,1.86086
24,1.92285
25,2.08735
26,2.07543
27,1.93715
28,2.06232
29,2.00748
30,1.98245
31,2.11716
32,2.16603
33,2.08378
34,2.11596
35,2.14815
36,2.04682
37,2.13504
38,2.2471
39,2.19464
40,2.21252
41,2.19941
42,2.2006
43,2.23994
44,2.25782
45,2.17795
46,2.1863
47,2.26736
48,2.27332
49,2.24113
50,2.22564
51,2.30908
52,2.31862
53,2.37823
54,2.35319
55,2.29716
56,2.25425
57,2.32339
58,2.38538
59,2.37226
60,2.33054
61,2.41637
62,2.34246
63,2.37107
64,2.50936
65,2.33769
66,2.3663
67,2.46048
68,2.36988
69,2.39491
70,2.31266
71,2.37346
72,2.43902
73,2.37823
74,2.36988
75,2.43187
76,2.40445
77,2.50697
78,2.50936
79,2.45094
80,2.58923
81,2.5034
82,2.51889
83,2.57254
84,2.54512
85,2.51055
86,2.6381
87,2.59876
88,2.52604
89,2.46763
90,2.51412
91,2.56658
92,2.59638
93,2.5928
94,2.66433
95,2.57611
96,2.56777
97,2.55585
98,2.56419
99,2.67506
100,2.59638
101,2.69055
102,2.57373
103,2.67148
104,2.64406
105,2.59399
106,2.56062
107,2.54273
108,2.58684
109,2.64883
110,2.82645
111,2.63214
112,2.56062
113,2.78592
114,2.42829
115,2.59638
116,2.52962
117,2.62618
118,2.65002
119,2.73108
120,2.68102
121,2.65002
122,2.70963
123,2.68102
124,2.69413
125,2.55823
126,2.56419
127,2.70486
128,2.68221
129,2.64525
130,2.70963
131,2.7442
132,2.60949
133,2.7585
134,2.71916
135,2.82645
136,2.6679
137,2.84314
138,2.81096
139,2.76208
140,2.83241
141,2.69532
142,2.72512
143,2.86341
144,2.67625
145,2.9552
146,2.75373
147,2.72274
148,2.72989
149,2.59399
150,2.8789
151,2.84076
152,2.78234
153,2.85745
154,2.67863
155,2.87652
156,2.78234
157,2.86222
158,2.98381
159,2.93016
160,2.95043
161,2.92301
162,2.97666
163,2.96116
164,2.93374
165,3.01957
166,2.85506
167,2.89559
168,2.93016
169,2.93493
170,2.84195
171,3.09825
172,2.99573
173,2.87056
174,2.75373
175,3.05772
176,3.06487
177,3.02076
178,2.93016
179,3.03626
180,2.81334
181,2.90155
182,2.95639
183,2.9552
184,2.84195
185,3.10183
186,2.85029
187,2.76923
188,2.83957
189,2.96712
190,2.94209
191,2.98738
192,2.83241
193,2.8336
194,2.91705
195,3.09825
196,2.86698
197,3.03626
198,3.14713
199,3.03149
200,3.01957
201,3.16024
202,2.97189
203,3.02434
204,2.9707
205,3.07798
206,2.96593
207,2.96116
208,3.04103
209,3.04937
210,3.07918
211,3.11136
212,3.00288
213,2.89798
214,3.03626
215,2.94089
216,2.95997
217,2.96116
218,2.97666
219,2.98619
220,2.91586
221,3.08394
222,2.99096
223,2.90632
224,3.13878
225,2.97785
226,2.91109
227,3.05057
228,2.96354
229,3.02434
230,2.88248
231,3.07441
232,2.98381
233,3.04461
234,3.08275
235,3.00169
236,3.12924
237,3.13997
238,2.98977
239,3.01003
240,2.88725
241,2.96116
242,3.14236
243,3.1805
244,2.93851
245,2.87175
246,3.03507
247,3.19481
248,3.05057
249,3.13759
250,3.11971
251,3.11375
252,3.06368
253,3.1805
254,3.09706
