n, mikro_s
0,1.16587
1000,7.92334
2000,9.23209
3000,9.70049
4000,10.20477
5000,10.94425
6000,11.45647
7000,11.84616
8000,12.21919
9000,13.05611
10000,13.35733
11000,14.24458
12000,14.6517
13000,14.93616
14000,15.5724
15000,16.4722
16000,16.69314
17000,17.31977
18000,17.6986
19000,18.36963
20000,18.52202
21000,19.26765
22000,19.75145
23000,20.50593
24000,20.94145
25000,21.73147
26000,21.7767
27000,22.50562
28000,22.86665
29000,23.67728
30000,23.874
31000,24.35491
32000,25.32334
33000,25.61464
34000,26.30298
35000,26.92339
36000,27.34296
37000,28.16274
38000,28.55175
39000,28.99711
40000,29.57759
41000,29.97835
42000,30.41265
43000,31.2124
44000,31.848
45000,32.35984
46000,32.47614
47000,33.27777
48000,33.2648
49000,33.92987
50000,35.01911
51000,35.11131
52000,35.72073
53000,35.89931
54000,36.97701
55000,37.12335
56000,37.78329
57000,38.14797
58000,38.68773
59000,39.19098
60000,40.3553
61000,40.47012
62000,40.74876
63000,41.50307
64000,41.67466
65000,42.06975
66000,42.59539
67000,43.3847
68000,44.08307
69000,44.62435
70000,44.75536
71000,45.40169
72000,46.64788
73000,46.04619
74000,46.91267
75000,47.5662
76000,48.01633
77000,48.63431
78000,48.72842
79000,49.21567
80000,50.04573
81000,50.2835
82000,51.16754
83000,51.90587
84000,51.79172
85000,52.74708
86000,53.34227
87000,53.73056
88000,53.90184
89000,54.52812
90000,55.26142
91000,55.68736
92000,56.36497
93000,56.68433
94000,57.2098
95000,57.98004
96000,57.75974
97000,58.38096
98000,59.32021
99000,59.64916
100000,60.2735
101000,60.75675
102000,60.83486
103000,61.58805
104000,61.98053
105000,62.00037
106000,62.76097
107000,64.06064
108000,64.21361
109000,64.81221
110000,65.62285
111000,65.94801
112000,65.72268
113000,66.60464
114000,66.9167
115000,67.46907
116000,68.06042
117000,68.85033
118000,69.20044
119000,69.73057
120000,69.9002
121000,70.87095
122000,70.4838
123000,71.64207
124000,72.01734
125000,73.25983
126000,73.62542
127000,73.73617
128000,74.34258
129000,74.86546
130000,75.19274
131000,76.27459
132000,76.40941
133000,77.3237
134000,77.27146
135000,77.95911
136000,78.81854
137000,79.76172
138000,81.99594
139000,82.23686
140000,83.62486
141000,82.67653
142000,84.45549
143000,83.8254
144000,82.91476
145000,83.36735
146000,86.64732
147000,84.56361
148000,86.71365
149000,86.80437
150000,87.05263
151000,88.17911
152000,88.11946
153000,88.46617
154000,89.52503
155000,90.43348
156000,90.43136
157000,90.84189
158000,91.34173
159000,92.66286
160000,93.05103
161000,93.41695
162000,93.54048
163000,94.30847
164000,94.44909
165000,94.77475
166000,95.77131
167000,95.19258
168000,95.82117
169000,96.12949
170000,96.20903
171000,97.10898
172000,97.75627
173000,98.33221
174000,98.92972
175000,98.69301
176000,99.58045
177000,99.7483
178000,100.1147
179000,100.42112
180000,101.3181
181000,102.02818
182000,101.74541
183000,102.44124
184000,101.68402
185000,102.04813
186000,102.66118
187000,102.50769
188000,102.72081
189000,103.91002
190000,103.22008
191000,103.67105
192000,104.71218
193000,111.06136
194000,116.67399
195000,111.01699
196000,114.72051
197000,116.12108
198000,113.29243
199000,114.0588
200000,118.54861
201000,119.09516
202000,116.46469
203000,115.68053
204000,119.04614
205000,119.83755
206000,118.61103
207000,120.71874
208000,120.67599
209000,121.3305
210000,120.83762
211000,117.69314
212000,118.75489
213000,118.13934
214000,119.23954
215000,125.58825
216000,124.13931
217000,120.90673
218000,121.68684
219000,122.80757
220000,122.03364
221000,122.95706
222000,123.69776
223000,124.40333
224000,124.28575
225000,124.56419
226000,125.49012
227000,125.83482
228000,125.92392
229000,126.34909
230000,127.23122
231000,127.58398
232000,128.17173
233000,128.20375
234000,128.60751
235000,129.76787
236000,129.95877
237000,129.57153
238000,130.70738
239000,131.06668
240000,131.97763
241000,132.63655
242000,132.53491
243000,133.74846
244000,133.4713
245000,134.18639
246000,138.64882
247000,141.3403
248000,140.99085
249000,142.26182
250000,141.67817
251000,139.20853
252000,140.70046
253000,141.30716
254000,143.37897
255000,142.84575
256000,143.59128
257000,148.46444
258000,139.04061
259000,139.65213
260000,140.21018
261000,139.23554
262000,140.73787
263000,141.64715
264000,141.53051
265000,141.8714
266000,142.25292
267000,144.66567
268000,143.64607
269000,144.40486
270000,144.66317
271000,144.46471
272000,145.71395
273000,145.73309
274000,146.55402
275000,146.23804
276000,147.03228
277000,147.80684
278000,148.07844
279000,148.58038
280000,149.55394
281000,149.97714
282000,150.48933
283000,150.85316
284000,151.60284
285000,151.63133
286000,152.68502
287000,152.96278
288000,153.96106
289000,153.68652
290000,154.84104
291000,154.94354
292000,155.27048
293000,155.19185
294000,155.8677
295000,156.74171
296000,157.46942
297000,157.61359
298000,158.25582
299000,159.00607
300000,160.91487
