n, mikro_s
0,1.19095
10,4.27313
20,5.16772
30,5.3957
40,5.77874
50,5.94726
60,6.01878
70,6.06794
80,6.27286
90,6.2974
100,6.54635
110,6.60706
120,6.58689
130,6.72808
140,6.84612
150,6.82788
160,6.77996
170,6.78301
180,6.81996
190,7.09636
200,6.74186
210,6.85728
220,6.9526
230,6.94432
240,7.08778
250,7.17194
260,7.18429
270,7.06787
280,7.36406
290,7.22239
300,7.27143
310,7.55298
320,7.34079
330,7.44982
340,7.30486
350,7.41203
360,7.27172
370,7.63113
380,7.58519
390,7.79588
400,7.36105
410,7.59819
420,7.58147
430,7.52335
440,7.50208
450,7.65152
460,7.42013
470,7.62479
480,7.53808
490,7.62701
500,7.8377
510,7.76777
520,7.90401
530,7.74219
540,8.01225
550,7.77996
560,7.92611
570,8.06463
580,8.10208
590,7.82959
600,7.77042
610,7.92203
620,8.04794
630,7.89087
640,8.03733
650,7.86676
660,7.93152
670,8.17814
680,8.04174
690,7.93023
700,8.07762
710,8.01737
720,7.88891
730,8.03773
740,7.87358
750,8.06761
760,8.09305
770,7.98163
780,8.18312
790,8.10585
800,8.24387
810,8.15086
820,8.26101
830,8.19125
840,8.24919
850,8.09834
860,8.08403
870,8.18553
880,8.03423
890,8.04427
900,8.17356
910,8.09042
920,8.44712
930,8.23257
940,8.05857
950,8.30112
960,8.23421
970,8.40704
980,8.4821
990,8.17523
1000,8.52587
1010,8.30781
1020,8.44402
1030,8.65023
1040,8.68244
1050,8.49259
1060,8.65428
1070,8.43606
1080,8.55646
1090,8.64315
1100,8.28741
1110,8.63628
1120,8.64303
1130,8.58951
1140,8.34837
1150,8.6879
1160,8.33416
1170,8.78611
1180,8.26302
1190,8.38592
1200,8.59239
1210,8.46894
1220,8.6102
1230,8.89995
1240,8.71305
1250,8.57308
1260,8.72815
1270,8.5973
1280,8.57775
1290,8.50799
1300,8.97889
1310,8.73144
1320,8.46856
1330,8.52115
1340,8.71718
1350,8.7209
1360,8.68695
1370,8.71811
1380,8.6024
1390,8.77419
1400,8.67097
1410,8.60879
1420,8.67121
1430,8.56628
1440,8.68382
1450,8.69334
1460,8.82132
1470,8.90284
1480,8.75354
1490,8.66117
1500,8.92956
1510,8.86414
1520,8.60057
1530,8.8552
1540,8.92272
1550,8.89046
1560,8.92153
1570,8.98235
1580,8.90691
1590,8.83141
1600,8.71043
1610,9.26085
1620,8.96559
1630,8.79729
1640,8.90613
1650,9.04107
1660,9.1347
1670,9.00922
1680,9.01632
1690,8.87909
1700,8.66187
1710,9.17869
1720,8.96137
1730,9.11024
1740,8.94938
1750,8.91476
1760,9.04551
1770,9.15942
1780,9.14557
1790,8.99646
1800,9.18279
1810,8.96127
1820,9.02941
1830,9.36086
1840,9.15926
1850,9.32288
1860,8.92603
1870,9.23998
1880,9.13591
1890,9.1542
1900,9.2097
1910,8.97217
1920,9.25188
1930,9.23109
1940,9.33206
1950,9.25565
1960,9.16862
1970,9.23107
1980,9.44297
1990,9.12945
2000,9.43675
2010,9.51707
2020,9.22165
2030,9.10976
2040,9.25219
2050,9.24296
2060,9.20577
2070,9.62141
2080,8.96297
2090,9.13053
2100,9.37853
2110,9.42104
2120,9.36756
2130,9.4738
2140,9.46219
2150,9.49736
2160,9.33955
2170,9.36763
2180,9.2962
2190,9.4903
2200,9.48141
2210,9.30593
2220,9.28802
2230,9.2952
2240,9.5283
2250,9.59878
2260,9.21564
2270,9.45425
2280,9.53038
2290,9.37533
2300,9.54986
2310,9.56938
2320,9.5556
2330,9.3904
2340,9.65524
2350,9.49376
2360,9.43847
2370,9.63304
2380,9.40971
2390,9.63771
2400,9.44655
2410,9.53188
2420,9.25524
2430,9.38437
2440,9.47707
2450,9.64587
2460,9.53553
2470,9.42104
2480,9.53503
2490,9.54087
2500,9.3601
2510,9.33869
2520,9.53512
2530,9.61931
2540,9.69217
2550,9.24509
2560,9.62789
2570,9.38852
2580,9.66771
2590,9.53202
2600,9.56247
2610,9.45041
2620,9.47182
2630,9.65238
2640,9.86264
2650,9.59425
2660,9.74309
2670,9.78971
2680,9.63302
2690,9.73949
2700,9.78568
2710,9.97324
2720,9.69036
2730,9.60398
2740,9.52852
2750,9.7131
2760,9.62706
2770,9.68435
2780,9.32186
2790,9.42299
2800,9.64735
2810,9.71024
2820,9.74357
2830,9.47323
2840,9.72099
2850,9.67684
2860,9.65087
2870,9.73175
2880,9.67214
2890,9.51447
2900,9.7291
2910,9.81078
2920,10.34157
2930,10.1927
2940,9.8228
2950,10.09982
2960,9.73442
2970,9.72443
2980,9.52854
2990,9.7213
3000,10.12952
