n, mikro_s
0,10.21211
1000,10.09402
2000,10.1239
3000,10.07397
4000,10.38163
5000,9.97913
6000,10.4563
7000,10.19797
8000,10.64134
9000,10.23142
10000,9.95946
11000,9.9884
12000,10.38511
13000,10.29434
14000,10.9513
15000,10.54554
16000,10.11569
17000,10.55949
18000,10.21974
19000,9.62622
20000,10.51066
21000,10.62839
22000,10.30374
23000,10.24945
24000,10.32405
25000,10.05359
26000,9.96897
27000,10.10878
28000,10.55694
29000,10.22208
30000,9.97682
31000,10.23383
32000,9.81531
33000,10.39069
34000,9.97443
35000,10.36463
36000,9.99041
37000,10.44307
38000,10.51548
39000,10.21898
40000,10.31816
41000,10.23991
42000,10.30803
43000,10.15148
44000,10.40411
45000,10.07493
46000,10.17997
47000,10.04968
48000,10.44712
49000,10.20823
50000,10.01749
51000,9.85761
52000,10.47504
53000,10.22348
54000,9.92837
55000,10.17077
56000,10.40463
57000,10.3337
58000,10.38337
59000,10.45637
60000,10.31744
61000,10.15375
62000,10.09636
63000,10.28028
64000,10.03795
65000,10.28612
66000,10.16178
67000,10.06527
68000,10.03692
69000,10.33173
70000,10.321
71000,10.33821
72000,10.24487
73000,9.96649
74000,9.80396
75000,10.15716
76000,10.68642
77000,10.46331
78000,10.28917
79000,9.98387
80000,10.27198
81000,10.1115
82000,10.35919
83000,10.95898
84000,10.38384
85000,10.44629
86000,9.75335
87000,10.08227
88000,9.96752
89000,10.27527
90000,10.47895
91000,10.46965
92000,10.45966
93000,9.91406
94000,10.24895
95000,10.43229
96000,10.28712
97000,10.21566
98000,10.18062
99000,10.81586
100000,9.95991
101000,10.12974
102000,10.27298
103000,10.32674
104000,10.61978
105000,10.49192
106000,10.76202
107000,9.92601
108000,10.46836
109000,10.62047
110000,10.38759
111000,10.14168
112000,10.67569
113000,10.50453
114000,10.00619
115000,10.60946
116000,10.40487
117000,10.37762
118000,10.27398
119000,10.19213
120000,10.14299
121000,10.55794
122000,10.51364
123000,10.29217
124000,10.22124
125000,10.20052
126000,10.52418
127000,10.05599
128000,10.38675
129000,10.49626
130000,10.3828
131000,10.81178
132000,10.43465
133000,10.07605
134000,10.41133
135000,10.31494
136000,9.98156
137000,10.03811
138000,10.50706
139000,9.75134
140000,10.2968
141000,10.2808
142000,10.48741
143000,10.31382
144000,10.16691
145000,10.43892
146000,10.33654
147000,9.94143
148000,10.13875
149000,10.39631
150000,10.32777
151000,10.72092
152000,10.68583
153000,10.71975
154000,10.53689
155000,10.61721
156000,10.40208
157000,10.48143
158000,10.50668
159000,10.41894
160000,10.3014
161000,10.31122
162000,10.10935
163000,10.27491
164000,10.83596
165000,10.4167
166000,10.32066
167000,10.28764
168000,10.50916
169000,10.17585
170000,10.51135
171000,10.34729
172000,10.3955
173000,10.09424
174000,10.34217
175000,10.6724
176000,10.44765
177000,10.86709
178000,10.26044
179000,10.68196
180000,10.68127
181000,10.17599
182000,10.35395
183000,10.27365
184000,10.54475
185000,10.64322
186000,10.47807
187000,10.5443
188000,10.22921
189000,10.14469
190000,10.55281
191000,10.90207
192000,10.15487
193000,10.45835
194000,10.07318
195000,10.38406
196000,9.94918
197000,10.15489
198000,10.33604
199000,9.82437
200000,10.31229
201000,10.02254
202000,10.17418
203000,10.03873
204000,10.71243
205000,10.3585
206000,10.63781
207000,10.40816
208000,10.08339
209000,10.57618
210000,10.26289
211000,9.97479
212000,10.18298
213000,9.99846
214000,10.36932
215000,10.26685
216000,10.07411
217000,10.50441
218000,10.58321
219000,10.12027
220000,10.27069
221000,10.70614
222000,10.58199
223000,10.38129
224000,10.34656
225000,10.26802
226000,10.36525
227000,10.25808
228000,10.55477
229000,10.36088
230000,10.1563
231000,10.26745
232000,10.53517
233000,10.59346
234000,10.31244
235000,10.36034
236000,10.47442
237000,10.26359
238000,10.39543
239000,10.3575
240000,10.3271
241000,10.3358
242000,10.41911
243000,10.19673
244000,10.3368
245000,10.43653
246000,10.19042
247000,10.04016
248000,9.96978
249000,10.31585
250000,10.60941
251000,10.24702
252000,9.91037
253000,10.6329
254000,9.97684
255000,10.13768
256000,10.69536
257000,10.197
258000,10.54597
259000,10.59902
260000,10.30421
261000,10.38465
262000,10.40924
263000,10.8855
264000,10.84552
265000,10.16202
266000,10.17461
267000,9.84037
268000,10.17137
269000,10.20823
270000,10.49745
271000,10.49016
272000,10.2843
273000,10.69515
274000,10.7892
275000,10.22036
276000,10.57236
277000,10.31225
278000,10.14044
279000,9.75568
280000,10.58989
281000,10.63256
282000,10.58903
283000,10.33087
284000,10.28166
285000,10.23016
286000,10.5998
287000,10.42724
288000,10.14445
289000,10.26332
290000,10.62305
291000,10.40909
292000,10.42421
293000,10.63564
294000,10.40933
295000,10.356
296000,10.36899
297000,10.57944
298000,10.2133
299000,10.34355
