n, mikro_s
0,10.3471
10,10.14347
20,10.36246
30,10.69982
40,10.48203
50,10.44071
60,10.48689
70,10.58986
80,10.64973
90,10.58509
100,9.87868
110,10.53419
120,10.30514
130,10.29196
140,10.75473
150,10.52992
160,10.53414
170,10.39343
180,10.62429
190,10.97069
200,10.37872
210,10.26604
220,10.83653
230,10.23252
240,9.97887
250,10.40092
260,10.23619
270,10.40106
280,10.60011
290,10.11612
300,10.67762
310,10.6535
320,10.43794
330,10.54506
340,10.44736
350,10.94751
360,10.48985
370,10.27541
380,10.82988
390,10.36439
400,10.65025
410,10.64103
420,10.37159
430,10.6288
440,10.44734
450,10.37247
460,10.34615
470,10.93016
480,10.75287
490,10.57062
500,10.5721
510,10.7229
520,10.40347
530,10.46898
540,10.34498
550,10.52618
560,10.24225
570,10.72557
580,10.8146
590,10.43618
600,10.20103
610,10.41086
620,10.30712
630,10.80253
640,10.72047
650,10.7919
660,10.51412
670,10.80899
680,10.99749
690,10.1104
700,10.84762
710,10.50863
720,10.81398
730,10.60948
740,10.65776
750,10.66504
760,10.48155
770,10.49507
780,10.65066
790,10.32321
800,10.59408
810,10.53395
820,10.96249
830,10.71186
840,10.71157
850,10.32119
860,11.21655
870,10.89687
880,10.37095
890,10.61471
900,10.15425
910,10.7434
920,10.69496
930,10.47721
940,10.62968
950,10.1687
960,10.29482
970,10.30872
980,10.73906
990,10.51099
1000,10.40926
1010,10.44984
1020,10.8731
1030,10.48315
1040,10.89945
1050,9.95772
1060,10.01294
1070,10.61888
1080,10.39417
1090,10.8758
1100,10.7425
1110,10.66017
1120,10.78985
1130,10.4583
1140,10.56962
1150,10.5005
1160,10.52825
1170,10.74772
1180,10.63604
1190,10.99269
1200,10.52382
1210,10.37371
1220,10.38647
1230,10.81281
1240,10.71761
1250,10.78267
1260,10.374
1270,10.37223
1280,10.47153
1290,10.83195
1300,10.044
1310,10.68532
1320,10.62264
1330,10.79237
1340,10.22182
1350,10.19223
1360,10.81116
1370,10.23731
1380,10.80747
1390,10.37908
1400,10.33084
1410,10.69906
1420,10.10034
1430,10.35368
1440,10.25159
1450,10.48348
1460,10.14106
1470,10.65645
1480,11.07206
1490,10.40778
1500,10.57489
1510,10.66782
1520,10.24168
1530,10.72011
1540,10.67646
1550,10.35054
1560,10.48362
1570,10.38773
1580,10.50739
1590,10.8634
1600,10.22272
1610,11.07991
1620,10.6323
1630,10.70359
1640,10.5171
1650,10.86068
1660,10.73139
1670,10.87306
1680,11.2335
1690,10.37817
1700,10.50794
1710,10.58238
1720,10.83779
1730,10.35783
1740,10.7388
1750,10.81734
1760,10.60743
1770,10.33561
1780,10.25932
1790,9.80396
1800,10.71315
1810,10.54759
1820,10.43587
1830,10.27191
1840,10.49452
1850,10.28476
1860,10.66625
1870,10.90426
1880,10.94441
1890,10.27336
1900,10.31134
1910,10.00216
1920,10.48353
1930,10.38501
1940,10.63852
1950,10.10683
1960,10.18209
1970,10.42459
1980,10.63249
1990,9.98325
2000,10.26237
2010,10.25388
2020,10.15952
2030,10.11896
2040,10.68079
2050,10.08029
2060,10.53891
2070,10.62441
2080,10.3642
2090,10.65214
2100,10.09581
2110,10.25715
2120,10.36937
2130,10.8849
2140,10.13365
2150,10.57167
2160,10.0744
2170,10.04612
2180,10.30452
2190,9.62288
2200,10.11777
2210,10.27536
2220,10.15551
2230,10.51402
2240,10.66802
2250,10.33995
2260,10.62787
2270,10.59401
2280,10.42097
2290,10.31642
2300,10.6319
2310,9.96745
2320,10.7022
2330,10.32436
2340,10.43394
2350,9.95111
2360,10.49693
2370,10.53741
2380,10.36973
2390,10.43782
2400,10.78629
2410,10.26788
2420,10.56354
2430,10.47821
2440,10.62191
2450,10.67889
2460,10.40173
2470,10.49602
2480,10.40945
2490,10.49333
2500,10.46927
2510,10.24315
2520,10.75006
2530,10.9221
2540,10.39169
2550,10.35385
2560,10.46205
2570,10.60905
2580,10.06975
2590,10.81188
2600,10.70104
2610,10.77738
2620,10.80575
2630,10.59322
2640,9.82866
2650,10.46541
2660,10.66592
2670,10.64963
2680,10.00507
2690,10.61537
2700,10.19094
2710,10.33247
2720,9.91404
2730,10.15456
2740,10.49471
2750,10.6647
2760,10.40614
2770,9.85422
2780,10.37967
2790,10.73368
2800,10.51047
2810,10.25918
2820,10.14767
2830,10.61187
2840,10.71849
2850,10.05826
2860,10.34846
2870,10.82709
2880,10.59721
2890,10.59821
2900,10.06646
2910,10.35647
2920,10.3538
2930,10.65855
2940,10.46793
2950,10.11231
2960,10.17642
2970,10.53996
2980,10.4521
2990,11.10582
3000,10.68769
